study_id,h2_yield_pct,temperature_k,alkali_conc_mol_l,particle_size_d50_um,activator_ratio,al_wt_pct,ga_wt_pct,in_wt_pct,sn_wt_pct,bi_wt_pct,mg_wt_pct,zn_wt_pct,alkali_type,activation_method,water_type,morphology_flag,system_class,source_ref,extractor,extraction_date,extraction_method,measurement_method,temperature_control,vessel_type,rate_definition,value_origin,quality_tier,max_rate_ml_min_g,t80_min
10.0000/synthetic.000,61.286140317084595,348.3071431561376,5.151587519468295,88.33680951065841,0.018835469577529906,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,nano,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,B,,
10.0000/synthetic.000,53.321173891225925,349.094179843002,2.7023156273734026,26.49461290243363,0.18535299776972036,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,B,,
10.0000/synthetic.000,53.04847210955925,351.47950486260396,1.3634323307086613,89.2394255666389,0.012763451220835066,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,B,,
10.0000/synthetic.000,56.33712522095616,347.27570310554927,5.824188146369419,71.5506676578438,0.15567669941475237,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,A,,
10.0000/synthetic.000,22.342290080673394,328.3368652422572,0.925736952405287,9.716949391658527,0.14895243118156343,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,flake,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,A,,
10.0000/synthetic.000,31.060430701862376,322.0798808922665,1.1368281545057142,94.44160644388577,0.09514098524518676,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,A,,
10.0000/synthetic.000,49.339498633358374,341.53790965436315,4.996069176347024,87.99323185559382,0.06247332827640822,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,C,,
10.0000/synthetic.000,41.46606926385684,323.18609463696134,4.094973023849853,58.37729268211858,0.03998164049502167,100.0,0.0,0.0,0.0,0.0,,0.0,NaOH,none,DI,foil,pure_al_alkali,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,A,,
10.0000/synthetic.001,58.10807190446087,349.150084537639,4.23099227175801,133.3053204618144,0.09178315510766799,95.0,3.0,2.0,0.0,0.0,,0.0,NaOH,none,DI,nano,al_alloy,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,A,,
10.0000/synthetic.001,27.215297341606178,305.4444547798383,2.826577236858795,134.01218939630385,0.15299977148320512,95.0,3.0,2.0,0.0,0.0,,0.0,NaOH,none,DI,nano,al_alloy,fig.2,synthetic,2026-06-14,table,water_displacement,isothermal_bath,closed,initial,reported,B,,
